---- dump tabulek a views
SELECT 
    c.TABLE_NAME,
    c.ORDINAL_POSITION                                AS poz,
    c.COLUMN_NAME,
    c.DATA_TYPE,
    c.CHARACTER_MAXIMUM_LENGTH                        AS delka,
    c.NUMERIC_PRECISION                               AS presnost,
    c.NUMERIC_SCALE                                   AS meritko,
    c.IS_NULLABLE                                     AS nullable,
    CASE WHEN pk.COLUMN_NAME IS NOT NULL THEN 'PK' ELSE '' END AS klic
FROM INFORMATION_SCHEMA.COLUMNS c
INNER JOIN INFORMATION_SCHEMA.TABLES t
        ON t.TABLE_NAME = c.TABLE_NAME AND t.TABLE_SCHEMA = c.TABLE_SCHEMA
LEFT JOIN (
    SELECT ku.TABLE_NAME, ku.COLUMN_NAME
    FROM INFORMATION_SCHEMA.TABLE_CONSTRAINTS tc
    JOIN INFORMATION_SCHEMA.KEY_COLUMN_USAGE ku
            ON tc.CONSTRAINT_NAME = ku.CONSTRAINT_NAME
           AND tc.TABLE_NAME      = ku.TABLE_NAME
    WHERE tc.CONSTRAINT_TYPE = 'PRIMARY KEY'
) pk ON pk.TABLE_NAME = c.TABLE_NAME AND pk.COLUMN_NAME = c.COLUMN_NAME
WHERE t.TABLE_TYPE = 'BASE TABLE'
ORDER BY c.TABLE_NAME, c.ORDINAL_POSITION;

----

SELECT 
    s.name        AS schema_name,
    v.name        AS view_name,
    m.definition  AS create_script
FROM sys.views v
JOIN sys.schemas s ON s.schema_id = v.schema_id
JOIN sys.sql_modules m ON m.object_id = v.object_id
ORDER BY s.name, v.name;

-----
TABLE_NAME	poz	COLUMN_NAME	DATA_TYPE	delka	presnost	meritko	nullable	klic
AD	1	ID	int	NULL	10	0	NO	PK
AD	2	UsrOrder	int	NULL	10	0	YES	
AD	3	Sel	bit	NULL	NULL	NULL	NO	
AD	4	Labels	varchar	255	NULL	NULL	YES	
AD	5	RefAD	int	NULL	10	0	YES	
AD	6	Cislo	varchar	20	NULL	NULL	YES	
AD	7	RelCR	int	NULL	10	0	YES	
AD	8	Firma	varchar	255	NULL	NULL	YES	
AD	9	Utvar	varchar	32	NULL	NULL	YES	
AD	10	Jmeno	varchar	64	NULL	NULL	YES	
AD	11	Ulice	varchar	64	NULL	NULL	YES	
AD	12	PSC	varchar	15	NULL	NULL	YES	
AD	13	Obec	varchar	45	NULL	NULL	YES	
AD	14	RefZeme	int	NULL	10	0	YES	
AD	15	Okres	varchar	32	NULL	NULL	YES	
AD	16	ICO	varchar	15	NULL	NULL	YES	
AD	17	DIC	varchar	18	NULL	NULL	YES	
AD	18	ICDPH	varchar	18	NULL	NULL	YES	
AD	19	RelTypDIC	int	NULL	10	0	YES	
AD	20	Firma2	varchar	255	NULL	NULL	YES	
AD	21	Utvar2	varchar	32	NULL	NULL	YES	
AD	22	Jmeno2	varchar	64	NULL	NULL	YES	
AD	23	Ulice2	varchar	64	NULL	NULL	YES	
AD	24	PSC2	varchar	15	NULL	NULL	YES	
AD	25	Obec2	varchar	45	NULL	NULL	YES	
AD	26	RefZeme2	int	NULL	10	0	YES	
AD	27	Tel2	varchar	40	NULL	NULL	YES	
AD	28	Email2	varchar	98	NULL	NULL	YES	
AD	29	Ucet	varchar	34	NULL	NULL	YES	
AD	30	KodBanky	varchar	11	NULL	NULL	YES	
AD	31	Tel	varchar	40	NULL	NULL	YES	
AD	32	Fax	varchar	24	NULL	NULL	YES	
AD	33	GSM	varchar	24	NULL	NULL	YES	
AD	34	Email	varchar	98	NULL	NULL	YES	
AD	35	WWW	varchar	96	NULL	NULL	YES	
AD	36	Skype	varchar	32	NULL	NULL	YES	
AD	37	ICQ	varchar	12	NULL	NULL	YES	
AD	38	GPS	varchar	38	NULL	NULL	YES	
AD	39	DataBox	varchar	12	NULL	NULL	YES	
AD	40	CenyIDS	varchar	10	NULL	NULL	YES	
AD	41	RelForUh	int	NULL	10	0	YES	
AD	42	ADSplat	smallint	NULL	5	0	YES	
AD	43	ADSplatZav	smallint	NULL	5	0	YES	
AD	44	ADToler	int	NULL	10	0	YES	
AD	45	ADKredit	money	NULL	19	4	YES	
AD	46	ADKreditMax	money	NULL	19	4	YES	
AD	47	KcObrat	money	NULL	19	4	YES	
AD	48	KcObrat2	money	NULL	19	4	YES	
AD	49	Skupina	varchar	255	NULL	NULL	YES	
AD	50	Klic	varchar	255	NULL	NULL	YES	
AD	51	P1	bit	NULL	NULL	NULL	NO	
AD	52	P2	bit	NULL	NULL	NULL	NO	
AD	53	P3	bit	NULL	NULL	NULL	NO	
AD	54	P4	bit	NULL	NULL	NULL	NO	
AD	55	P5	bit	NULL	NULL	NULL	NO	
AD	56	P6	bit	NULL	NULL	NULL	NO	
AD	57	mPohoda	bit	NULL	NULL	NULL	NO	
AD	58	RelDruh	int	NULL	10	0	YES	
AD	59	Ost1	varchar	32	NULL	NULL	YES	
AD	60	Ost2	varchar	32	NULL	NULL	YES	
AD	61	Zprava	varchar	64	NULL	NULL	YES	
AD	62	Smlouva	varchar	12	NULL	NULL	YES	
AD	63	Funkce	varchar	32	NULL	NULL	YES	
AD	64	RodCisl	varchar	11	NULL	NULL	YES	
AD	65	Osloveni	varchar	32	NULL	NULL	YES	
AD	66	DatNar	datetime	NULL	NULL	NULL	YES	
AD	67	RelPohl	int	NULL	10	0	YES	
AD	68	RelTpIo	int	NULL	10	0	YES	
AD	69	IoID	varchar	35	NULL	NULL	YES	
AD	70	DatCreate	datetime	NULL	NULL	NULL	YES	
AD	71	DatSave	datetime	NULL	NULL	NULL	YES	
AD	72	RelPkFP	int	NULL	10	0	YES	
AD	73	RelTpDPHFP	int	NULL	10	0	YES	
AD	74	RelPkFV	int	NULL	10	0	YES	
AD	75	RelTpDPHFV	int	NULL	10	0	YES	
AD	76	RefUcetFV	int	NULL	10	0	YES	
AD	77	RefOsoba	int	NULL	10	0	YES	
AD	78	RefStr	int	NULL	10	0	YES	
AD	79	RefCin	int	NULL	10	0	YES	
AD	80	CisloZAK	varchar	12	NULL	NULL	YES	
AD	81	RefDopravci	int	NULL	10	0	YES	
AD	82	RefCM	int	NULL	10	0	YES	
AD	83	RelSzDPH	int	NULL	10	0	YES	
AD	84	RelSzDPHskz	int	NULL	10	0	YES	
AD	85	GdprDatPreAkt	datetime	NULL	NULL	NULL	YES	
AD	86	GdprDatPreHist	datetime	NULL	NULL	NULL	YES	
AD	87	GdprDatProAkt	datetime	NULL	NULL	NULL	YES	
AD	88	GdprDatProHist	datetime	NULL	NULL	NULL	YES	
AD	89	GdprDatPostAkt	datetime	NULL	NULL	NULL	YES	
AD	90	GdprDatPostHist	datetime	NULL	NULL	NULL	YES	
AD	91	GdprOmezeniZprac	bit	NULL	NULL	NULL	NO	
AD	92	Oznacil	varchar	2	NULL	NULL	YES	
AD	93	Ucetni	varchar	2	NULL	NULL	YES	
AD	94	Creator	varchar	2	NULL	NULL	YES	
AD	95	Pozn	text	2147483647	NULL	NULL	YES	
AD	96	Pozn2	text	2147483647	NULL	NULL	YES	
AD	97	NullCheck_Cislo	int	NULL	10	0	NO	
ADcn	1	ID	int	NULL	10	0	NO	PK
ADcn	2	UsrOrder	int	NULL	10	0	YES	
ADcn	3	Sel	bit	NULL	NULL	NULL	NO	
ADcn	4	RefAg	int	NULL	10	0	YES	
ADcn	5	RelAgID	int	NULL	10	0	YES	
ADcn	6	Kod	varchar	64	NULL	NULL	YES	
ADcn	7	Nazev	varchar	90	NULL	NULL	YES	
ADcn	8	RefPol	int	NULL	10	0	YES	
ADcn	9	RefStruct	int	NULL	10	0	YES	
ADcn	10	SlevaFix	bit	NULL	NULL	NULL	NO	
ADcn	11	Sleva	real	NULL	24	NULL	YES	
ADcn	12	Cena	money	NULL	19	4	YES	
ADcn	13	SDph	bit	NULL	NULL	NULL	NO	
ADcn	14	SlevaPC	real	NULL	24	NULL	YES	
ADcn	15	CenaPC	money	NULL	19	4	YES	
ADcn	16	RefCM	int	NULL	10	0	YES	
ADcn	17	Oznacil	varchar	2	NULL	NULL	YES	
ADcn	18	Ucetni	varchar	2	NULL	NULL	YES	
ADcn	19	Creator	varchar	2	NULL	NULL	YES	
ADcn	20	DatCreate	datetime	NULL	NULL	NULL	YES	
ADcn	21	DatSave	datetime	NULL	NULL	NULL	YES	
ADdodaci	1	ID	int	NULL	10	0	NO	PK
ADdodaci	2	RefAg	int	NULL	10	0	YES	
ADdodaci	3	Firma2	varchar	255	NULL	NULL	YES	
ADdodaci	4	Utvar2	varchar	32	NULL	NULL	YES	
ADdodaci	5	Jmeno2	varchar	64	NULL	NULL	YES	
ADdodaci	6	Ulice2	varchar	64	NULL	NULL	YES	
ADdodaci	7	PSC2	varchar	15	NULL	NULL	YES	
ADdodaci	8	Obec2	varchar	45	NULL	NULL	YES	
ADdodaci	9	RefZeme2	int	NULL	10	0	YES	
ADdodaci	10	Tel2	varchar	40	NULL	NULL	YES	
ADdodaci	11	Email2	varchar	98	NULL	NULL	YES	
ADdodaci	12	Vychozi	bit	NULL	NULL	NULL	NO	
ADdodaci	13	DatCreate	datetime	NULL	NULL	NULL	YES	
ADdodaci	14	DatSave	datetime	NULL	NULL	NULL	YES	
ADdodaci	15	OrderFld	int	NULL	10	0	YES	
ADgdpr	1	ID	int	NULL	10	0	NO	PK
ADgdpr	2	RefAg	int	NULL	10	0	YES	
ADgdpr	3	RefGdprDuvod	int	NULL	10	0	YES	
ADgdpr	4	DatOd	datetime	NULL	NULL	NULL	YES	
ADgdpr	5	DatDo	datetime	NULL	NULL	NULL	YES	
ADgdpr	6	DatOdvolani	datetime	NULL	NULL	NULL	YES	
ADgdpr	7	Pozn	varchar	90	NULL	NULL	YES	
ADgdpr	8	DatCreate	datetime	NULL	NULL	NULL	YES	
ADgdpr	9	DatSave	datetime	NULL	NULL	NULL	YES	
ADhist	1	ID	int	NULL	10	0	NO	PK
ADhist	2	UsrOrder	int	NULL	10	0	YES	
ADhist	3	Sel	bit	NULL	NULL	NULL	NO	
ADhist	4	RefAg	int	NULL	10	0	YES	
ADhist	5	RelAgID	int	NULL	10	0	YES	
ADhist	6	RefAD	int	NULL	10	0	YES	
ADhist	7	RefZAM	int	NULL	10	0	YES	
ADhist	8	RefADdoc	int	NULL	10	0	YES	
ADhist	9	RefEmail	int	NULL	10	0	YES	
ADhist	10	RefDataBox	int	NULL	10	0	YES	
ADhist	11	RefSms	int	NULL	10	0	YES	
ADhist	12	Datum	datetime	NULL	NULL	NULL	YES	
ADhist	13	Termin	datetime	NULL	NULL	NULL	YES	
ADhist	14	Akce	varchar	32	NULL	NULL	YES	
ADhist	15	Text1	varchar	255	NULL	NULL	YES	
ADhist	16	Text2	varchar	40	NULL	NULL	YES	
ADhist	17	Text3	varchar	16	NULL	NULL	YES	
ADhist	18	Text4	varchar	16	NULL	NULL	YES	
ADhist	19	Klic	varchar	16	NULL	NULL	YES	
ADhist	20	RefStr	int	NULL	10	0	YES	
ADhist	21	RefCin	int	NULL	10	0	YES	
ADhist	22	CisloZAK	varchar	12	NULL	NULL	YES	
ADhist	23	Ostatni	varchar	16	NULL	NULL	YES	
ADhist	24	Oznacil	varchar	2	NULL	NULL	YES	
ADhist	25	Ucetni	varchar	2	NULL	NULL	YES	
ADhist	26	Creator	varchar	2	NULL	NULL	YES	
ADhist	27	Dopis	text	2147483647	NULL	NULL	YES	
ADhist	28	Pozn	text	2147483647	NULL	NULL	YES	
ADhist	29	Pozn2	text	2147483647	NULL	NULL	YES	
ADhist	30	DatCreate	datetime	NULL	NULL	NULL	YES	
ADhist	31	DatSave	datetime	NULL	NULL	NULL	YES	
ADhist	32	Firma	varchar	255	NULL	NULL	YES	
ADhist	33	Jmeno	varchar	64	NULL	NULL	YES	
ADhistVaz	1	ID	int	NULL	10	0	NO	PK
ADhistVaz	2	RefAD	int	NULL	10	0	YES	
ADhistVaz	3	RefHist	int	NULL	10	0	YES	
ADucet	1	ID	int	NULL	10	0	NO	PK
ADucet	2	RefAg	int	NULL	10	0	YES	
ADucet	3	Ucet	varchar	34	NULL	NULL	YES	
ADucet	4	KodBanky	varchar	11	NULL	NULL	YES	
ADucet	5	SpecSym	varchar	20	NULL	NULL	YES	
ADucet	6	Popis	varchar	30	NULL	NULL	YES	
ADucet	7	Vychozi	bit	NULL	NULL	NULL	NO	
ADucet	8	BankaNazev	varchar	35	NULL	NULL	YES	
ADucet	9	BankaUlice	varchar	35	NULL	NULL	YES	
ADucet	10	BankaObec	varchar	45	NULL	NULL	YES	
ADucet	11	BankaStat	int	NULL	10	0	YES	
BP	1	ID	int	NULL	10	0	NO	PK
BP	2	Sel	bit	NULL	NULL	NULL	NO	
BP	3	Labels	varchar	255	NULL	NULL	YES	
BP	4	Polozky	bit	NULL	NULL	NULL	NO	
BP	5	RelTpBP	int	NULL	10	0	YES	
BP	6	SEPA	bit	NULL	NULL	NULL	NO	
BP	7	Datum	datetime	NULL	NULL	NULL	YES	
BP	8	DatSplat	datetime	NULL	NULL	NULL	YES	
BP	9	DatExport	datetime	NULL	NULL	NULL	YES	
BP	10	SText	varchar	48	NULL	NULL	YES	
BP	11	Udaj	varchar	48	NULL	NULL	YES	
BP	12	RefUcet	int	NULL	10	0	YES	
BP	13	KcCelkem	money	NULL	19	4	YES	
BP	14	CmCelkem	money	NULL	19	4	YES	
BP	15	EurCelkem	money	NULL	19	4	YES	
BP	16	KonstSym	varchar	4	NULL	NULL	YES	
BP	17	RequestID	varchar	32	NULL	NULL	YES	
BP	18	Oznacil	varchar	2	NULL	NULL	YES	
BP	19	Ucetni	varchar	2	NULL	NULL	YES	
